ciiu3_4c,ciiu3_letra,clae6,clae6_letra,propio,propio_letra,propio_letra_2,letra,desc
2899,D,259993,C,2899,D,D_28,D_28,Otros productos de metal
2899,D,259999,C,2899,D,D_28,D_28,Otros productos de metal
3110,D,271010,C,3110,D,D_31,D_31,Aparatos eléctricos
3120,D,271020,C,3120,D,D_31,D_31,Aparatos eléctricos
3130,D,273110,C,3130,D,D_31,D_31,Aparatos eléctricos
3130,D,273190,C,3130,D,D_31,D_31,Aparatos eléctricos
3210,D,261000,C,3210,D,D_32,D_32,Radio y televisión
3230,D,264000,C,3230,D,D_32,D_32,Radio y televisión
3000,D,262000,C,3000,D,D_30,D_30,Maquinaria de oficina
3000,D,281700,C,3000,D,D_30,D_30,Maquinaria de oficina
3190,D,279000,C,3190,D,D_31,D_31,Aparatos eléctricos
3220,D,263000,C,3220,D,D_32,D_32,Radio y televisión
3694,D,324000,C,3694,D,D_36,D_36,Muebles
3310,D,265101,C,3310,D,D_33,D_33,Instrumentos médicos
3310,D,265102,C,3310,D,D_33,D_33,Instrumentos médicos
3330,D,265200,C,3330,D,D_33,D_33,Instrumentos médicos
3311,D,266010,C,3311,D,D_33,D_33,Instrumentos médicos
3311,D,266090,C,3311,D,D_33,D_33,Instrumentos médicos
2919,D,281900,C,2919,D,D_29,D_29,Maquinaria y equipo
3320,D,267001,C,3320,D,D_33,D_33,Instrumentos médicos
3320,D,267002,C,3320,D,D_33,D_33,Instrumentos médicos
3320,D,268000,C,3320,D,D_33,D_33,Instrumentos médicos
3140,D,272000,C,3140,D,D_31,D_31,Aparatos eléctricos
3150,D,274000,C,3150,D,D_31,D_31,Aparatos eléctricos
2930,D,275010,C,2930,D,D_29,D_29,Maquinaria y equipo
2930,D,275020,C,2930,D,D_29,D_29,Maquinaria y equipo
2930,D,275091,C,2930,D,D_29,D_29,Maquinaria y equipo
2930,D,275092,C,2930,D,D_29,D_29,Maquinaria y equipo
2930,D,275099,C,2930,D,D_29,D_29,Maquinaria y equipo
2922,D,282200,C,2922,D,D_29,D_29,Maquinaria y equipo
2911,D,281100,C,2911,D,D_29,D_29,Maquinaria y equipo
2912,D,281201,C,2912,D,D_29,D_29,Maquinaria y equipo
2912,D,281301,C,2912,D,D_29,D_29,Maquinaria y equipo
2913,D,281400,C,2913,D,D_29,D_29,Maquinaria y equipo
2914,D,281500,C,2914,D,D_29,D_29,Maquinaria y equipo
2915,D,281600,C,2915,D,D_29,D_29,Maquinaria y equipo
3599,D,309900,C,3599,D,D_35,D_35,Otros equipo de transporte
2921,D,282110,C,2921,D,D_29,D_29,Maquinaria y equipo
2921,D,282120,C,2921,D,D_29,D_29,Maquinaria y equipo
2921,D,282130,C,2921,D,D_29,D_29,Maquinaria y equipo
2923,D,282300,C,2923,D,D_29,D_29,Maquinaria y equipo
2924,D,282400,C,2924,D,D_29,D_29,Maquinaria y equipo
2925,D,282500,C,2925,D,D_29,D_29,Maquinaria y equipo
2926,D,282600,C,2926,D,D_29,D_29,Maquinaria y equipo
3410,D,291000,C,3410,D,D_34,D_34,Automotores
3420,D,292000,C,3420,D,D_34,D_34,Automotores
3430,D,293011,C,3430,D,D_34,D_34,Automotores
3430,D,293090,C,3430,D,D_34,D_34,Automotores
3610,D,310010,C,3610,D,D_36,D_36,Muebles
3610,D,310020,C,3610,D,D_36,D_36,Muebles
3610,D,310030,C,3610,D,D_36,D_36,Muebles
3511,D,301100,C,3511,D,D_35,D_35,Otros equipo de transporte
3512,D,301200,C,3512,D,D_35,D_35,Otros equipo de transporte
3520,D,302000,C,3520,D,D_35,D_35,Otros equipo de transporte
3530,D,303000,C,3530,D,D_35,D_35,Otros equipo de transporte
3590,D,309100,C,3590,D,D_35,D_35,Otros equipo de transporte
3590,D,309200,C,3590,D,D_35,D_35,Otros equipo de transporte
3691,D,321011,C,3691,D,D_36,D_36,Muebles
3691,D,321012,C,3691,D,D_36,D_36,Muebles
3691,D,321020,C,3691,D,D_36,D_36,Muebles
3692,D,322001,C,3692,D,D_36,D_36,Muebles
3693,D,323001,C,3693,D,D_36,D_36,Muebles
2211,D,581100,J,2211,D,D_22,D_22,Edición
7250,K,951100,S,7250,K,K_72,K_72,Actividades de informática
4011,E,351110,D,4011,E,E,E,"Suministro de electricidad, gas y agua"
4011,E,351120,D,4011,E,E,E,"Suministro de electricidad, gas y agua"
4011,E,351130,D,4011,E,E,E,"Suministro de electricidad, gas y agua"
4011,E,351190,D,4011,E,E,E,"Suministro de electricidad, gas y agua"
4012,E,351201,D,4012,E,E,E,"Suministro de electricidad, gas y agua"
5119,G,351310,D,5119,G,G,G,Comercio al por mayor y al por menor
5119,G,461031,G,461031,G,G,G,Comercio al por mayor y al por menor
5119,G,461032,G,461032,G,G,G,Comercio al por mayor y al por menor
5119,G,461039,G,461039,G,G,G,Comercio al por mayor y al por menor
5119,G,461040,G,461040,G,G,G,Comercio al por mayor y al por menor
5119,G,461091,G,461091,G,G,G,Comercio al por mayor y al por menor
5119,G,461092,G,461092,G,G,G,Comercio al por mayor y al por menor
5119,G,461093,G,461093,G,G,G,Comercio al por mayor y al por menor
5119,G,461094,G,461094,G,G,G,Comercio al por mayor y al por menor
5119,G,461095,G,461095,G,G,G,Comercio al por mayor y al por menor
5119,G,461099,G,461099,G,G,G,Comercio al por mayor y al por menor
4013,E,351320,D,4013,E,E,E,"Suministro de electricidad, gas y agua"
4020,E,352010,D,4020,E,E,E,"Suministro de electricidad, gas y agua"
4020,E,352020,D,4020,E,E,E,"Suministro de electricidad, gas y agua"
4030,E,353001,D,4030,E,E,E,"Suministro de electricidad, gas y agua"
4100,E,360010,E,4100,E,E,E,"Suministro de electricidad, gas y agua"
4100,E,360020,E,4100,E,E,E,"Suministro de electricidad, gas y agua"
9000,O,370000,E,9000,O,O,O,"Otras actividades de servicios comunitarios, sociales y personales"
9000,O,381100,E,9000,O,O,O,"Otras actividades de servicios comunitarios, sociales y personales"
9000,O,381200,E,9000,O,O,O,"Otras actividades de servicios comunitarios, sociales y personales"
9000,O,390000,E,9000,O,O,O,"Otras actividades de servicios comunitarios, sociales y personales"
3710,D,382010,E,3710,D,D_37,D_37,Reciclamiento de desperdicios y desechos
3720,D,382020,E,3720,D,D_37,D_37,Reciclamiento de desperdicios y desechos
4520,F,410011,F,4520,F,F,F,Construcción
4520,F,410021,F,4520,F,F,F,Construcción
4520,F,421000,F,4520,F,F,F,Construcción
4520,F,429090,F,4520,F,F,F,Construcción
4520,F,439910,F,4520,F,F,F,Construcción
4533,F,432200,F,4533,F,F,F,Construcción
